graph,nodes,edges,method,variant,batch,modularity,communities,passes,affected,time_s
er_n500_p0.05_b5_bp0.001,500,6162,df,Static,0,0.149149,11,3,,0.088
er_n500_p0.05_b5_bp0.001,500,6162,df,ND,1,0.164833,10,,,0.002
er_n500_p0.05_b5_bp0.001,500,6162,df,DF,1,0.149498,11,,16,0.001
er_n500_p0.05_b5_bp0.001,500,6162,df,DS,1,0.157247,11,,426,0.001
er_n500_p0.05_b5_bp0.001,500,6162,df,ND,2,0.168373,10,,,0.001
er_n500_p0.05_b5_bp0.001,500,6162,df,DF,2,0.150022,11,,10,0.0
er_n500_p0.05_b5_bp0.001,500,6162,df,DS,2,0.161906,11,,297,0.001
er_n500_p0.05_b5_bp0.001,500,6162,df,ND,3,0.170252,10,,,0.001
er_n500_p0.05_b5_bp0.001,500,6162,df,DF,3,0.150236,11,,14,0.001
er_n500_p0.05_b5_bp0.001,500,6162,df,DS,3,0.164549,11,,304,0.001
er_n500_p0.05_b5_bp0.001,500,6162,df,ND,4,0.170755,10,,,0.001
er_n500_p0.05_b5_bp0.001,500,6162,df,DF,4,0.150093,11,,16,0.001
er_n500_p0.05_b5_bp0.001,500,6162,df,DS,4,0.166705,11,,429,0.001
er_n500_p0.05_b5_bp0.001,500,6162,df,ND,5,0.170759,10,,,0.001
er_n500_p0.05_b5_bp0.001,500,6162,df,DF,5,0.15041,11,,16,0.001
er_n500_p0.05_b5_bp0.001,500,6162,df,DS,5,0.167465,11,,359,0.001
er_n500_p0.05_b5_bp0.001,500,6162,networkx,rerun,0,0.167718,10,,,0.0971
er_n500_p0.05_b5_bp0.001,500,6162,networkx,rerun,1,0.165834,10,,,0.0908
er_n500_p0.05_b5_bp0.001,500,6162,networkx,rerun,2,0.170149,11,,,0.1039
er_n500_p0.05_b5_bp0.001,500,6162,networkx,rerun,3,0.172877,9,,,0.1031
er_n500_p0.05_b5_bp0.001,500,6162,networkx,rerun,4,0.172249,9,,,0.1055
er_n500_p0.05_b5_bp0.001,500,6162,networkx,rerun,5,0.16657,9,,,0.0936
